tip,name,own
359910,A. clinopodiicola IMI 359910,Y
Phoma_herbarum_strain_CBS_615.75,Phoma herbarum,
Phomatodes_aubrietiae_strain_CBS_627.97,Phomatodes aubrietiae,
Ascochyta_sp._CBS_113797,A. astragalina,
Ascochyta_benningiorum_strain_JW_196005,A. benningiorum JW 196005,
Ascochyta_benningiorum_strain_JW_196013,A. benningiorum JW 196013,
Ascochyta_benningiorum_strain_JW_196023,A. benningiorum JW 196023,
Ascochyta_clinopodiicola_culture_CBS_123524,A. clinopodiicola CBS 123524,
Ascochyta_clinopodiicola_culture_CBS_123527,A. clinopodiicola CBS 123527,
Ascochyta_clinopodiicola_culture_CBS_123526,A. clinopodiicola CBS 123526,
Ascochyta_cf._clinopodiicola_culture_CBS_127776,A. clinopodiicola CBS 127776,
Ascochyta_coronillae-emeri_strain_MFLUCC_13-0820,A. coronillae-emeri,
Ascochyta_fabae_strain_CBS_524.77,A. fabae,
Ascochyta_herbicola_strain_CBS_629.97,A. herbicola,
Ascochyta_koolunga_strain_CBS_189.91,A. koolunga CBS 189.91,
Phoma_koolunga_strain_DAR_78535,A. koolunga DAR 78535,
Ascochyta_lentis_culture_CBS_231.79,A. lentis,
Ascochyta_medicaginicola_strain_CBS_112.53,A. medicaginicola,
Ascochyta_nigripycnidia_strain_CBS_116.96,A. nigripycnidia,
Ascochyta_phacae_strain_CBS_184.55,A. phacae,
Ascochyta_pilosella_strain_CBS_583.97,A. pilosella,
Ascochyta_pisi_strain_CBS_122785,A. pisi,
Ascochyta_rabiei_strain_CBS_237.37,A. rabiei,
UNVERIFIED__Ascochyta_rosae_voucher_MFLUCC_15-0063,A. rosae,
Ascochyta_pisi_strain_CBS_136887,A. sp.,
Ascochyta_syringae_strain_CBS_126.82,A. syringae,
Ascochyta_viciae_strain_CBS_451.68,A. viciae,
Ascochyta_viciae-pannonicae_strain_CBS_254.92,A. viciae-pannonicae,
Ascochyta_viciae-villosae_strain_CBS_255.92,A. viciae-villosae,
