tip,name,own
366227,Colla. sp. IMI 366227,Y
Achaetomiella_gracilis_strain_CBS_146.60,Achaetomiella gracilis CBS 146.60,
Achaetomiella_gracilis_strain_CBS_249.75,Achaetomiella gracilis CBS 249.75,
Achaetomiella_virescens_strain_CBS_148.68,Achaetomiella virescens CBS 148.68,
Achaetomiella_virescens_strain_CBS_547.75,Achaetomiella virescens CBS 547.75,
Achaetomium_globosum_strain_CBS_332.67,Achaetomium globosum,
Collariella_bostrychodes_strain_CBS_121706,Colla. bostrychodes CBS 121706,
Collariella_bostrychodes_strain_CBS_163.73,Colla. bostrychodes CBS 163.73,
Collariella_bostrychodes_strain_CBS_586.83,Colla. bostrychodes CBS 586.83,
Collariella_bostrychodes_strain_DTO_319-C4,Colla. bostrychodes DTO 319-C4,
Collariella_bostrychodes_strain_DTO_324-H3,Colla. bostrychodes DTO 324-H3,
Collariella_carteri_strain_CBS_128.85,Colla. carteri CBS 128.85,
Collariella_causiiformis_strain_CBS_792.83,Colla. causiiformis,
Collariella_quadrangulata_strain_CBS_142.58,Colla. quadrangulata CBS 142.58,
Collariella_quadrangulata_strain_CBS_152.59,Colla. quadrangulata CBS 152.59,
Collariella_robusta_strain_CBS_508.84,Colla. robusta CBS 508.84,
Collariella_robusta_strain_CBS_551.83,Colla. robusta CBS 551.83,
Melanocarpus_albomyces_strain_CBS_638.94,Melanocarpus albomyces,
Ovatospora_brasiliensis_strain_CBS_130174,Ovatospora brasiliensis,
Collariella_quadrum_strain_LC5446,Colla. quadrum LC5446,
Collariella_quadrum_strain_LC5693,Colla. quadrum LC5693,
Collariella_quadrum_strain_LC5781,Colla. quadrum LC5781,
Collariella_quadrum_strain_LC5782,Colla. quadrum LC5782,
Collariella_sp._isolate_SCUA-Agh-20H,Colla. sp. SCUA-Agh-20H,
Collariella_sp._isolate_SCUA-Agh-20H-2,Colla. sp. SCUA-Agh-20H-2,
Collariella_carteri_isolate_D32,Colla. carteri D32,
Collariella_carteri_isolate_SCUA-Saf-O26,Colla. carteri SCUA-Saf-O26,
Collariella_carteri_strain_ChL-A48,Colla. carteri ChL-A48,
Collariella_carteri_voucher_HGUP191086,Colla. carteri HGUP191086,
Collariella_hexagonospora_strain_CBS_171.84,Colla. hexagonospora,
Collariella_pachypodioides_strain_CBS_164.52,Colla. pachypodioides,
Collariella_anguipilia_strain_CBS_632.83,Colla. anguipilia,
