tip,name,species.complex,own
355084,Colle. fioriniae IMI 355084,acutatum,Y
366226,Colle. tropicale IMI 366226,gloeosporioides,Y
Colletotrichum_abscissum_strain_CDA918,Colle. abscissum,acutatum,
Colletotrichum_acerbum_culture-collection_CBS_128530,Colle. acerbum,acutatum,
Colletotrichum_acidae_strain_MFLUCC_17-2659,Colle. acidae,truncatum,
Colletotrichum_acutatum_culture-collection_CBS_112996,Colle. acutatum CBS 112996,acutatum,
Colletotrichum_acutatum_culture-collection_CBS_127545,Colle. acutatum CBS 127545,acutatum,
Colletotrichum_aenigma_culture_ICMP_18608,Colle. aenigma,gloeosporioides,
Colletotrichum_aeschynomenes_culture_ICMP_17673,Colle. aeschynomenes,gloeosporioides,
Colletotrichum_alatae_culture_ICMP_17919,Colle. alatae,gloeosporioides,
Colletotrichum_alienum_culture_ICMP_12071,Colle. alienum,gloeosporioides,
Colletotrichum_americae-borealis_strain_CBS_136232,Colle. americae-borealis,destructivum,
Colletotrichum_annellatum_culture-collection_CBS_129826,Colle. annellatum,boninense,
Colletotrichum_anthrisci_culture-collection_CBS_125334,Colle. anthrisci,dematium,
Colletotrichum_antirrhinicola_strain_CBS_102189,Colle. antirrhinicola,destructivum,
Colletotrichum_aotearoa_culture_ICMP_18537,Colle. aotearoa,gloeosporioides,
Colletotrichum_arecicola_clone_HNBL_5,Colle. arecicola,gloeosporioides,
Colletotrichum_artocarpicola,Colle. artocarpicola,gloeosporioides,
Colletotrichum_arxii_strain_CBS_132511,Colle. arxii,gigasporum,
Colletotrichum_asianum_culture_ICMP_18580,Colle. asianum,gloeosporioides,
Colletotrichum_australe_culture-collection_CBS_116478,Colle. australe,acutatum,
Colletotrichum_australianum_strain_2-Orange,Colle. australianum,gloeosporioides,
Colletotrichum_beeveri_culture-collection_CBS_128527,Colle. beeveri,boninense,
Colletotrichum_bidentis_strain_COAD_1020,Colle. bidentis,orbiculare,
Colletotrichum_bletillum_strain_CGMCC_3.15117,Colle. bletillum,spaethianum,
Colletotrichum_boninense_culture-collection_CBS_123755,Colle. boninense,boninense,
Colletotrichum_brasiliense_culture-collection_CBS_128501,Colle. brasiliense,boninense,
Colletotrichum_brassicicola_culture-collection_CBS_101059,Colle. brassicicola,boninense,
Colletotrichum_brevisporum_strain_CBS_129957,Colle. brevisporum,magnum,
Colletotrichum_brisbanense_culture-collection_CBS_292.67,Colle. brisbanense,acutatum,
