tip,name,own
355091,D. pomorum IMI 355091,Y
355093,D. sp. IMI 355093,Y
360193,D. glomerata IMI 360193,Y
Didymella_aeria_voucher_LC_8120,D. aeria LC 8120,
Didymella_aeria_voucher_LC_7441,D. aeria CGMCC 3.18353,
Phoma_aliena_strain_CBS_379.93,D. aliena,
Didymella_americana_strain_CBS_185.85,D. americana,
Didymella_anserina_strain_CBS_253.80,D. anserina,
Didymella_aquatica_voucher_LC_5556,D. aquatica,
Didymella_arachidicola_strain_CBS_333.75,D. arachidicola,
Didymella_aurea_strain_CBS_269.93,D. aurea,
Didymella_bellidis_strain_CBS_714.85,D. bellidis,
Didymella_boeremae_strain_CBS_109942,D. boeremae,
Didymella_brunneospora_strain_CBS_115.58,D. brunneospora,
Didymella_calidophila_strain_CBS_448.83,D. calidophila,
Didymella_chenopodii_strain_CBS_128.93,D. chenopodii,
Didymella_chloroguttulata_voucher_LC_7435,D. chloroguttulata,
Didymella_coffeae-arabicae_strain_CBS_123380,D. coffeae-arabicae,
Didymella_corylicola_strain_CREADC-F2281,D. corylicola CREADC-F2281,
Didymella_corylicola_strain_CREADC-F2405,D. corylicola CREADC-F2405,
Didymella_corylicola_strain_CREADC-F2406,D. corylicola CREADC-F2406,
Didymella_corylicola_strain_CREADC-F2407,D. corylicola CREADC-F2407,
Didymella_corylicola_strain_CREADC-F2408,D. corylicola CREADC-F2408,
Didymella_curtisii_strain_CBS_251.92,D. curtisii,
Didymella_dactylidis_strain_CBS_124513,D. dactylidis,
Didymella_dimorpha_strain_CBS_346.82,D. dimorpha,
Didymella_ellipsoidea_voucher_LC_7434,D. ellipsoidea,
Didymella_eucalyptica_strain_CBS_377.91,D. eucalyptica,
Didymella_exigua_strain_CBS_183.55,D. exigua,
Didymella_gardeniae_strain_CBS_626.68,D. gardeniae,
Didymella_glomerata_strain_CBS_133.72,D. glomerata CBS 133.72,
Didymella_glomerata_strain_CBS_126930,D. glomerata CBS 126930,
Didymella_glomerata_strain_ATCC_MYA-2373,D. glomerata ATCC MYA-2373,
Didymella_glomerata_strain_CBS_528.66,D. glomerata CBS 528.66,
Didymella_glomerata_UTHSC_DI16-205,D. glomerata UTHSC:DI16-205,
Didymella_heteroderae_strain_CBS_109.92,D. heteroderae,
Didymella_ilicicola_voucher_LC_8126,D. ilicicola CGMCC 3.18355 T,
Didymella_ilicicola_voucher_LC_8127,D. ilicicola LC 8127,
Didymella_infuscatispora_voucher_LC_8128,D. infuscatispora,
Didymella_sp._1_NV-2016_UTHSC_DI16-200,D. keratinophila,
Didymella_lethalis_strain_CBS_103.25,D. lethalis,
Didymella_longicolla_strain_CBS_124514,D. longicolla CBS 124514,
Didymella_longicolla_strain_CBS_503.71,D. longicolla CBS 503.71,
Didymella_longicolla_strain_CBS_347.82,D. longicolla CBS 347.82,
Didymella_macrophylla_voucher_LC_8131,D. macrophylla,
Didymella_macrostoma_strain_CBS_482.95,D. macrostoma,
Didymella_maydis_strain_CBS_588.69,D. maydis,
Didymella_microchlamydospora_strain_CBS_105.95,D. microchlamydospora,
Phoma_digitalis_strain_CBS_229.79,D. molleriana,
Didymella_musae_strain_CBS_463.69,D. musae,
Didymella_negriana_strain_CBS_358.71,D. negriana,
Didymella_nigricans_strain_CBS_444.81,D. nigricans,
Didymella_ocimicola_voucher_LC_8137,D. ocimicola,
Didymella_pedeiae_strain_CBS_124517,D. pedeiae,
Didymella_pinodella_strain_CBS_531.66,D. pinodella,
Didymella_pinodes_strain_CBS_525.77,D. pinodes,
Didymella_pomorum_strain_CBS_285.76,D. pomorum CBS 285.76,
Didymella_pomorum_strain_CBS_388.80,D. pomorum CBS 388.80,
Didymella_pomorum_strain_CBS_539.66,D. pomorum CBS 539.66,
Didymella_pomorum_strain_CBS_354.52,D. pomorum CBS 354.52,
Didymella_protuberans_strain_CBS_381.96,D. protuberans,
Didymella_pteridis_strain_CBS_379.96,D. pteridis,
Didymella_rhei_strain_CBS_109177,D. rhei,
Didymella_rosea_voucher_BRIP_50788,D. rosea,
Didymella_rumicicola_strain_CBS_683.79,D. rumicicola,
Didymella_sancta_strain_CBS_281.83,D. sancta,
Didymella_segeticola_strain_CGMCC_3.17489,D. segeticola,
Didymella_senecionicola_strain_CBS_160.78,D. senecionicola,
Didymella_sinensis_voucher_LC_8142,D. sinensis,
Didymella_subglomerata_strain_CBS_110.92,D. subglomerata,
Didymella_subherbarum_strain_CBS_250.92,D. subherbarum CBS 250.92,
Didymella_subherbarum_strain_CBS_249.92,D. subherbarum CBS 249.92,
Didymella_suiyangensis_voucher_LC_7439,D. suiyangensis,
Didymella_tanaceti_voucher_BRIP_50785,D. tanaceti,
Didymella_viburnicola_strain_CBS_523.73,D. viburnicola,
Didymella_acetosellae_strain_CBS_179.97,D. acetosellae,
Macroventuria_wentii_strain_CBS_526.71,Macroventuria wentii,
Macroventuria_anomochaeta_strain_CBS_525.71,Macroventuria anomochaeta,
Paraboeremia_putaminum_strain_CBS_130.69,Paraboeremia putaminum,
Paraboeremia_selaginellae_strain_CBS_122.93,Paraboeremia selaginellae,
Paraboeremia_adianticola_strain_CBS_187.83,Paraboeremia adianticola,
