tip,name,own
356815,Didymosphaeria variabile IMI 356815,Y
367209,cf. Kalmusia sp. IMI 367209,Y
356815_Utg12242_pilon_17434--18215,356815_1,Y
356815_Utg12242_pilon_25094-25979,356815_2,Y
356815_Utg12242_pilon_32995-33878,356815_3,Y
356815_Utg12242_pilon_40880-41761,356815_4,Y
356815_Utg12242_pilon_48776-49663_SELECTED,356815_5,Y
356815_Utg12242_pilon_56692-57577,356815_6,Y
356815_Utg12242_pilon_64577-65461,356815_7,Y
356815_Utg12242_pilon_72477-73364,356815_8,Y
356815_Utg12242_pilon_80375-81263,356815_9,Y
367209_Utg17856_pilon_623284-624169,367209_1,Y
367209_Utg17856_pilon_630625-631511,367209_2,Y
367209_Utg17856_pilon_638648-639535_SELECTED,367209_3,Y
367209_Utg17856_pilon_646677-647564,367209_4,Y
367209_Utg17856_pilon_654352-655225,367209_5,Y
Alloconiothyrium_sp._strain_NTUCC_17-032-1,Alloconiothyrium camelliae,
Austropleospora_keteleeriae_MFLUCC_18-1551,Austropleospora keteleeriae,
Austropleospora_ochracea_voucher_HMAS_248367,Austropleospora ochracea,
Paraconiothyrium_archidendri_strain_MFLUCC_17-2429,Austropleospora osteospermi,
Massarinaceae_sp._DQD-2015a_voucher_MFLU_15-0057,Bambusistroma didymosporum,
Bimuria_novae-zelandiae_isolate_AFTOL-ID_931,Bimuria novae-zelandiae,
Bimuria_omanensis_SQUCC_15280,Bimuria omanensis,
Chromolaenicola_lampangensis_voucher_MFLUCC_17-1462,Chromolaenicola lampangensis,
Chromolaenicola_nanensis_voucher_MFLUCC_17-1477,Chromolaenicola nanensis,
Chromolaenicola_thailandensis_voucher_MFLUCC_17-1475,Chromolaenicola thailandensis,
Cylindroaseptospora_leucaenae_strain_MFLUCC_17-2424,Cylindroaseptospora leucaenae,
Chromolaenicola_siamensis_strain_MFLUCC_17-2527,Cylindroaseptospora siamensis,
Deniquelata_barringtoniae_voucher_MFLUCC_16-0271,Deniquelata barringtoniae,
Deniquelata_hypolithi_strain_CPC_38968,Deniquelata hypolithi,
Deniquelata_vittalii_isolate_PUFD39,Deniquelata vittalii,
Didymocrea_sadasivanii_strain_CBS_438.65,Didymocrea sadasivanii,
Paraconiothyrium_brasiliense_strain_CBS_100299,Didymosphaeria rubi ulmifolii CBS 100299,
Didymosphaeria_rubi-ulmifolii_MFLUCC_14-0023,Didymosphaeria rubi ulmifolii MFLUCC 14-0023,
Didymosphaeria_variabile_strain_18EPLE013,Didymosphaeria variabile 18EPLE013,
Didymosphaeria_variabile_strain_18EPLE021,Didymosphaeria variabile 18EPLE021,
Paraconiothyrium_variabile_strain_CBS_638.93,Didymosphaeria variabile CBS 638.93,
Kalmusia_cordylines_isolate_ZHKU_21-0003,Kalmusia cordylines,
Kalmusia_ebuli_strain_CBS_123120,Kalmusia ebuli,
Kalmusia_erioi_voucher_MFLU_18-0832,Kalmusia erioi,
Kalmusia_italica_strain_MFLUCC_13-0066,Kalmusia italica,
Dendrothyrium_longisporum_strain_CBS_582.83,Kalmusia longispora,
Kalmusia_sarothamni_strain_CBS_113833,Kalmusia sarothamni CBS 113833,
Kalmusia_sarothamni_strain_CBS_116474,Kalmusia sarothamni CBS 116474,
Kalmusia_sp._1_NV-2015_isolate_UTHSC_DI16-256,Kalmusia sp. UTHSC DI16-256,
Kalmusia_sp._isolate_K,Kalmusia sp. K,
Dendrothyrium_variisporum_strain_CBS_121517,Kalmusia variisporum,
Kalmusibambusa_triseptata_strain_MFLUCC_13-0232,Kalmusibambusa triseptata,
Karstenula_rhodostoma_strain_CBS_690.94,Karstenula rhodostoma CBS 690.94,
Karstenula_rhodostoma_CBS_691.94,Karstenula rhodostoma CBS 691.94,
Laburnicola_muriformis_culture_MFLUCC_16-0290,Laburnicola muriformis,
Uncultured_Montagnulaceae_clone_JP-ROOT-29,Laburnicola rhizohalophila,
Letendraea_cordylinicola_MFLUCC_11-0148,Letendraea cordylinicola,
Letendraea_helminthicola_isolate_CBS_884_85,Letendraea helminthicola,
Letendraea_padouk_strain_CBS_485.70,Letendraea padouk,
Montagnula_bellevaliae_strain_MFLUCC_14-0924,Montagnula bellevaliae,
Montagnula_chromolaenicola_MFLUCC_17-1469,Montagnula chromolaenicola,
Montagnula_cirsii_strain_MFLUCC_13-0680,Montagnula cirsii,
Montagnula_krabiensis_voucher_MFLUCC_16-0250,Montagnula krabiensis,
Montagnula_thailandica_MFLUCC_17-1508,Montagnula thailandica,
Neokalmusia_arundinis_isolate_MFLU_17-0754,Neokalmusia arundinis,
Kalmusia_brevispora_KT_2313,Neokalmusia brevispora,
Neokalmusia_didymospora_strain_MFLUCC_11-0613,Neokalmusia didymospora,
Neokalmusia_sp._DNK-2022a_strain_KUMCC_21-0818,Neokalmusia jonahhulmei ,
Neokalmusia_kunmingensis_strain_KUMCC_18-0120,Neokalmusia kunmingensis,
Kalmusia_scabrispora_KT_1023,Neokalmusia scabrispora,
Neokalmusia_thailandica_strain_MFLUCC_16-0405,Neokalmusia thailandica,
Neptunomyces_aureus_strain_CMG12,Neptunomyces aureus,
Paraconiothyrium_hawaiiense_strain_CBS_120025,Paracamarosporium hawaiiense,
Paraconiothyrium_cyclothyrioides_strain_CBS_972.95,Paraconiothyrium cyclothyrioides,
Paraconiothyrium_estuarinum_strain_CBS_109850,Paraconiothyrium estuarinum,
Montagnula_anthostomoides_strain_CBS_615.86,Paramassariosphaeria anthostomoides,
Paramassariosphaeria_anthostomoides_culture_MFLUCC_16-0172,Paramassariosphaeria clematidicola,
Paraphaeosphaeria_rosae_strain_MFLUCC_17-2547,Paraphaeosphaeria rosae,
Phaeodothis_winteri_strain_CBS_182.58,Phaeodothis winteri,
Pseudocamarosporium_eucalypti_culture_CBS_146084,Pseudocamarosporium eucalypti,
Pseudocamarosporium_pteleae_strain_MFLUCC_17-0724,Pseudocamarosporium pteleae,
Pseudodidymocyrtis_lobariellae_KRAM_Flakus_25130,Pseudodidymocyrtis lobariellae,
Pseudopithomyces_entadae_MFLUCC_17-0917,Pseudopithomyces entadae,
Pseudopithomyces_kunmingensis_strain_MFLUCC_17-0314,Pseudopithomyces kunmingnensis,
Pseudopithomyces_rosae_strain_MFLUCC_15-0035,Pseudopithomyces rosae,
Spegazzinia_radermacherae_strain_MFLUCC_17-2285,Spegazzinia radermacherae,
Spegazzinia_tessarthra_SH_287,Spegazzinia tessarthra,
Tremateia_arundicola_strain_MFLUCC_16-1275,Tremateia arundicola,
Tremateia_chromolaenae_MFLUCC_17-1425,Tremateia chromolaenae,
Tremateia_guiyangensis_strain_GZAAS01,Tremateia guiyangensis,
Tremateia_murispora_strain_GZCC_18-2787,Tremateia murispora,
Tremateia_thailandensis_MFLUCC_17-1430,Tremateia thailandensis,
Verrucoconiothyrium_nitidae_culture_CBS_119209,Verrucoconiothyrium nitidae,
Xenocamarosporium_acaciae,Xenocamarosporium acaciae CPC 24755,
Xenocamarosporium_acaciae_strain_MFLUCC_17-2432,Xenocamarosporium acaciae MFLUCC 17-2432,
