tip,name,own
355080,G. sp. IMI 355080,Y
355082,G. smithogilvyi IMI 355082,Y
Gnomoniopsis_alderdunense_strain_CBS_125680,G. alderdunensis CBS 125680,
Gnomoniopsis_sp._strain_CFCC_54437,G. castanopsidis CFCC 54437,
Gnomoniopsis_chamaemori_strain_CBS_804.79,G. chamaemori,
Gnomoniopsis_sp._strain_CFCC52286,G. chinensis CFCC 52286,
Gnomoniopsis_sp._strain_CFCC52287,G. chinensis CFCC 52287,
Gnomoniopsis_sp._strain_CFCC52288,G. chinensis CFCC 52288,
Gnomoniopsis_sp._strain_CFCC52289,G. chinensis CFCC 52289,
Gnomoniopsis_clavulata_strain_AR_4124,G. clavulata AR 4124,
Gnomoniopsis_clavulata_strain_AR_4183,G. clavulata AR 4183,
Gnomoniopsis_clavulata_strain_AR_4317,G. clavulata AR 4317,
Gnomoniopsis_clavulata_strain_CBS_121255,G. clavulata CBS 121255,
Gnomoniopsis_comari_strain_CBS_806.79,G. comari CBS 806.79,
Gnomoniopsis_daii_strain_CMF002A,G. daii CFCC 54043,
Gnomoniopsis_sp._strain_CFCC_54316,G. fagacearum CFCC 54316,
Gnomoniopsis_fructicola_strain_CBS_121266,G. fragariae CBS 121226,
Gnomoniopsis_sp._strain_CFCC_54443,G. guangdongensis CFCC 54443,
Gnomoniopsis_sp._strain_CFCC_54376,G. hainanensis CFCC 54376,
Gnomoniopsis_idaeicola_strain_CBS_125672,G. idaeicola CBS 125672,
Gnomoniopsis_macounii_strain_CBS_121468,G. macounii,
Gnomoniopsis_occulta_strain_CBS_125677,G. occulta CBS 125677,
Gnomoniopsis_sp._MVS-2008a_strain_CBS_123202,G. paraclavulata CBS 123202,
Gnomoniopsis_paraclavulata_strain_396E,G. paraclavulata 396E,
Gnomoniopsis_paraclavulata_strain_477E,G. paraclavulata 477E,
Gnomoniopsis_paraclavulata_strain_66G,G. paraclavulata 66G,
Gnomoniopsis_racemula_strain_CBS_121469,G. racemula,
Gnomoniopsis_sp._strain_CFCC_54307,G. rossmaniae CFCC 54307,
Gnomoniopsis_sanguisorbae_strain_CBS_858.79,G. sanguisorbae,
Gnomoniopsis_sp._strain_CFCC_54418,G. silvicola CFCC 54418,
Gnomoniopsis_smithogilvyi_strain_CBS_130190,G. smithogilvyi CBS 130190,
Gnomoniopsis_smithogilvyi_strain_CBS_130189,G. smithogilvyi CBS 130189,
Gnomoniopsis_smithogilvyi_strain_CBS_130188,G. smithogilvyi CBS 130188,
Gnomoniopsis_smithogilvyi_strain_MUT401,G. smithogilvyi MUT 401,
Gnomoniopsis_smithogilvyi_strain_MUT411,G. smithogilvyi MUT 411,
Gnomoniopsis_tormentillae_strain_CBS_904.79,G. tormentillae CBS 904.79,
Gnomoniopsis_sp._strain_CFCC_53115,G. xunwuensis CFCC 53115,
Melanconis_alni_strain_AR_3500_voucher_BPI_748444,Melanconis alni,
Melanconis_marginalis_strain_AR_3442_voucher_BPI_748446,Melanconis marginalis,
