tip,name,own
356814,Neocu. cava IMI 356814,Y
Cucurbitaria_berberidis_strain_C241,Cucurbitaria berberidis,
Cucurbitaria_oromediterranea_strain_C229,Cucurbitaria oromediterranea,
Neocucurbitaria_acanthocladae_strain_C225,Neocu. acanthocladae,
Neocucurbitaria_acerina_strain_C255,Neocu. acerina CBS 142403,
Neocucurbitaria_aetnensis_strain_C261,Neocu. aetnensis CBS 142404,
Neocucurbitaria_cava_CBS_257.68,Neocu. cava CBS 257.68,
Neocucurbitaria_cava_culture_CBS_143400,Neocu. cava CBS 143400,
Neocucurbitaria_cava_voucher_MF-Vm17-040,Neocu. cava MF-Vm17-040,
Neocucurbitaria_cinereae_strain_KU9,Neocu. cinereae,
Neocucurbitaria_cisticola_strain_C244,Neocu. cisticola,
Neocucurbitaria_juglandicola_strain_BW6,Neocu. juglandicola,
Neocucurbitaria_keratinophila_CBS_121759,Neocu. keratinophila,
Neocucurbitaria_populi_strain_C28,Neocu. populi,
Neocucurbitaria_quercina_CBS_115095,Neocu. quercina CBS 115095,
Neocucurbitaria_quercina_CBS_297.74,Neocu. aquatica CBS 297.74,
Neocucurbitaria_rhamni_strain_C1,Neocu. rhamni CBS 142391,
Neocucurbitaria_rhamnicola_strain_C185,Neocu. rhamnicola CBS 142396,
Neocucurbitaria_rhamnioides_strain_C118,Neocu. rhamnioides CBS 142395,
Neocucurbitaria_ribicola_strain_C55,Neocu. ribicola C155,
Neocucurbitaria_unguis-hominis_CBS_111112,Neocu. unguis-hominis,
Neocucurbitaria_vachelliae_strain_C192,Neocu. vachelliae,
Parafenestella_pseudoplatani_strain_C26,Parafenestella pseudoplatani,
Protofenestella_ulmi_strain_FP5,Protofenestella ulmi,
Pyrenochaeta_acicola_CBS_812.95,Neopyrenochaeta acicola,
Pyrenochaeta_cava_CBS_115979,Neocu. cava CBS 115979,
Pyrenochaeta_hakeae_strain_CPC_28920,Neocu. hakeae,
Pyrenochaeta_sp._2_NV-2016,Neocu. irregularis,
