tip,name,own
364377,Neod. sp. IMI 364377,Y
Calophoma_clematidina_strain_CBS_108.79,Calophoma clematidina,
Calophoma_complanata_strain_CBS_100311,Calophoma complanata,
Calophoma_glaucii_strain_CBS_112.96,Calophoma glaucii,
Neoascochyta_sp._2_NV-2016,Neoascochyta cylindrispora,
Neoascochyta_desmazieri_strain_CBS_346.86,Neoascochyta desmazieri,
Neoascochyta_europaea_strain_CBS_504.71,Neoascochyta europaea,
Neodidymelliopsis_achlydis_strain_CBS_256.77,Neodidymelliopsis achlydis,
Neodidymelliopsis_cannabis_strain_CBS_121.75,Neod. cannabis CBS 121.75,
Neodidymelliopsis_cannabis_strain_CBS_234.37,Neod. cannabis CBS 234.37,
Neodidymelliopsis_cannabis_strain_CBS_591.67,Neod. cannabis CBS 591.67,
Neodidymelliopsis_cannabis_strain_CBS_629.76,Neod. cannabis CBS 629.76,
Neodidymelliopsis_farokhinejadii_strain_SCUA_4,Neod. farokhinejadii,
Neodidymelliopsis_cf._moricola_strain_CBS_139719,Neod. tiliae CBS 139719,
Neodidymelliopsis_sp._CBS_141235,Neod. sp. CBS 141235,
Neodidymelliopsis_longicolla_strain_CBS_265.74,Neod. longicolla CBS 265.74,
Neodidymelliopsis_longicolla_strain_CBS_266.74,Neod. longicolla CBS 266.74,
Neodidymelliopsis_moricola_isolate_MFLUCC_17-1063,Neod. moricola MFLUCC 17-1063,
Neodidymelliopsis_moricola_isolate_MFLUCC_17-1064,Neod. moricola MFLUCC 17-1064,
Neodidymelliopsis_negundinis_strain_MFLUCC18-0083,Neod. negundinis,
Neodidymelliopsis_polemonii_strain_CBS_109181,Neod. polemonii CBS 109181,
Neodidymelliopsis_polemonii_strain_CBS_375.67,Neod. polemonii CBS 375.67,
Neodidymelliopsis_longicolla_strain_CBS_739.88,Neod. ranunculi CBS 739.88,
Neodidymelliopsis_longicolla_strain_CBS_286.72,Neod. ranunculi CBS 286.72,
Neodidymelliopsis_sambuci_strain_MFLUCC18-1565,Neod. sambuci,
Neodidymelliopsis_longicolla_strain_CBS_382.96,Neod. longicolla CBS 382.96,
Neodidymelliopsis_cf._moricola_strain_CBS_519.95,Neod. tiliae CBS 519.95,
Neodidymelliopsis_xanthina_strain_CBS_383.68,Neod. xanthina CBS 383.68,
Neodidymelliopsis_xanthina_strain_CBS_168.70,Neod. xanthina CBS 168.70,
Xenodidymella_asphodeli_strain_CBS_499.72,Xenodidymella asphodeli,
Xenodidymella_catariae_strain_CBS_102635,Xenodidymella catariae,
Xenodidymella_humicola_strain_CBS_220.85,Xenodidymella humicola,
Xenodidymella_applanata_strain_CBS_195.36,Xenodidymella applanata,
