tip,name,own
360204,Neu. sp. IMI 360204,Y
Neurospora_africana_FMR_7370,Neu. africana,
Gelasinospora_brevispora_FGSC_7795,Neu. brevispora,
Neurospora_calospora_FGSC_958,Neu. calospora,
Neurospora_cerealis_FGSC_959,Neu. cerealis,
Neurospora_crassa_FGSC_8858,Neu. crassa FGSC 8858,
Neurospora_crassa_FGSC_8771,Neu. crassa FGSC 8771,
Neurospora_crassa_FGSC_8900,Neu. crassa FGSC 959,
Neurospora_dictyophora_FMR_7511,Neu. dictyophora,
Neurospora_discreta_FGSC_8780,Neu. discreta,
Neurospora_dodgei_FGSC_1692,Neu. dodgei,
Neurospora_endodonta_IMI_148369,Neu. endodonta,
Neurospora_galapagosensis_FGSC_1739,Neu. galapagosensis,
Neurospora_hapsidophora_CBS_408.82,Neu. hapsidophora,
Neurospora_hispaniola_FGSC_8817,Neu. hispaniola,
Neurospora_indica_FGSC_7793,Neu. indica,
Neurospora_intermedia_FGSC_8844,Neu. intermedia FGSC 8844,
Neurospora_intermedia_FGSC_8901,Neu. intermedia FGSC 8901,
Neurospora_kobi_CBS_560.72,Neu. kobi,
Neurospora_lineolata_CBS_502.70,Neu. lineolata,
Neurospora_metzenbergii_FGSC_8847,Neu. metzenbergii,
Neurospora_sp._KN-2011_FMR_7512,Neu. minuta,
Neurospora_nigeriensis_FMR_5963,Neu. nigeriensis,
Neurospora_novoguineensis_FMR_7269,Neu. novoguineensis,
Neurospora_pannonica_FGSC_7221,Neu. pannonica,
Neurospora_perkinsii_FGSC_8838,Neu. perkinsii,
Neurospora_pseudoreticulata_CBS_556.72,Neu. pseudoreticulata,
Neurospora_reticulata_IMI_080035,Neu. reticulata,
Neurospora_retispora_FGSC_6537,Neu. reticulospora,
Neurospora_retispora_FMR_7510,Neu. retispora FMR 7510,
Neurospora_retispora_FMR_7276,Neu. retispora FMR 7276,
Neurospora_retispora_FMR_5513,Neu. retispora FMR 5513,
Neurospora_retispora_CBS_868.68,Neu. retispora CBS 868.68,
Neurospora_retispora_CBS_656.70,Neu. retispora CBS 656.70,
Neurospora_retispora_CBS_275.50,Neu. retispora CBS 275.50,
Gelasinospora_saitoi_CBS_435.74,Neu. saitoi,
Neurospora_santi-florii_FGSC_8331,Neu. santi-florii,
Neurospora_sitophila_FGSC_8770,Neu. sitophila,
Neurospora_sp._FGSC_8243_FGSC_8243,Neu. sp FGSC 8243,
Neurospora_sp._FGSC_8240_FGSC_8240,Neu. sp FGSC 8240,
Neurospora_sp._FGSC_8238_FGSC_8238,Neu. sp FGSC 8238,
Neurospora_sp._FGSC_6877_FGSC_6877,Neu. sp FGSC 6877,
Neurospora_stellata_IFO_30242,Neu. stellata,
Neurospora_sublineolata_IMI_223881,Neu. sublineolata,
Neurospora_terricola_CBS_298.63,Neu. terricola,
Neurospora_tetrasperma_FMR_5545,Neu. tetrasperma,
Gelasinospora_tetrasperma_FGSC_7033,Neu. tetraspora,
Gelasinospora_udagawae_CBS_309.91,Neu. udagawae,
Neurospora_uniporata_FMR_7283,Neu. uniporata,
Pseudoneurospora_amorphoporcata_CBS_626.80,Pseudoneurospora amorphoporcata,
Sordaria_fimicola_FGSC_2918,Sordaria fimicola,
Sordaria_macrospora_FGSC_4818,Sordaria macrospora,
Sordaria_sclerogenia_FGSC_2741,Sordaria sclerogenia,
Sordaria_tomento-alba_CBS_260.78,Sordaria tomento-alba,
Sordaria_brevicollis_FGSC_1904,Sordaria brevicollis,
